time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place
2013-08-28T18:17:42.700Z,37.4047,-121.7553,5.5,2.2,Md,,36,0.03593261,0.06,nc,nc72058431,2013-08-28T18:20:40.144Z,"6km ENE of East Foothills, California"
2013-08-28T17:54:40.400Z,37.4043,-121.7558,5.6,2.3,Md,,57.6,0.03593261,0.07,nc,nc72058411,2013-08-28T18:09:06.758Z,"6km ENE of East Foothills, California"
2013-08-28T17:54:14.000Z,38.781,-122.9267,1.7,1.5,Md,,104.4,0.05389892,0.09,nc,nc72058416,2013-08-28T17:55:54.335Z,"8km ESE of Cloverdale, California"
2013-08-28T17:40:44.860Z,37.0247,-117.7397,7,1.16,ml,17,152,0.316,0.85,nn,nn00421706,2013-08-28T17:42:46.726Z,"51km ESE of Big Pine, California"
2013-08-28T16:36:34.778Z,39.6689,-119.6783,13.8131,1.7,ml,21,95,0.138,0.1128,nn,nn00421674,2013-08-28T17:10:59.263Z,"3km NE of Spanish Springs, Nevada"
2013-08-28T16:35:17.000Z,61.6032,-141.177,0.1,2.2,Ml,,,,0.84,ak,ak10791535,2013-08-28T16:47:48.488Z,"173km E of Chitina, Alaska"
2013-08-28T16:12:13.300Z,33.8507,-117.8105,0.1,1.4,Ml,17,111.6,0.02694946,0.23,ci,ci15398617,2013-08-28T16:15:01.754Z,"4km S of Yorba Linda, California"
2013-08-28T16:09:26.000Z,62.6115,-151.3156,86.8,1.2,Ml,,,,0.21,ak,ak10791523,2013-08-28T16:17:59.293Z,"69km WNW of Talkeetna, Alaska"
2013-08-28T16:03:17.100Z,36.4377,-121.0038,0,1.8,Md,,122.4,0.01796631,0.17,nc,nc72058361,2013-08-28T16:34:07.850Z,"25km ENE of Greenfield, California"
2013-08-28T15:21:21.200Z,33.5175,-116.4463,11.5,1.2,Ml,15,126,0.08084838,0.19,ci,ci15398601,2013-08-28T15:23:55.594Z,"20km SW of La Quinta, California"
2013-08-28T15:13:24.900Z,38.7737,-122.715,2.2,1.9,Md,,61.2,0,0.08,nc,nc72058341,2013-08-28T18:20:15.352Z,"3km E of The Geysers, California"
2013-08-28T14:39:54.000Z,61.5995,-141.2297,0.1,2.5,Ml,,,,0.85,ak,ak10791496,2013-08-28T14:52:15.267Z,"170km E of Chitina, Alaska"
2013-08-28T14:32:21.050Z,39.2128,74.5849,55.91,4.5,mb,41,63,2.45,1.06,us,usb000jclk,2013-08-28T16:33:16.532Z,"91km ENE of Karakul, Tajikistan"
2013-08-28T14:26:48.500Z,38.7757,-122.7162,2.4,2,Md,,46.8,0,0.08,nc,nc72058316,2013-08-28T18:08:33.806Z,"3km E of The Geysers, California"
2013-08-28T13:58:41.300Z,38.75,-122.7012,2.5,1,Md,,104.4,0.00898315,0.08,nc,nc72058306,2013-08-28T16:23:06.597Z,"5km ESE of The Geysers, California"
2013-08-28T13:25:49.100Z,35.337,-117.9138,8.9,1.5,Ml,21,54,0.08983153,0.13,ci,ci15398577,2013-08-28T13:28:55.858Z,"24km NNE of California City, California"
2013-08-28T12:57:40.810Z,42.0284,85.8503,25.86,4.6,mb,40,73,5.4,0.77,us,usb000jckq,2013-08-28T13:35:05.815Z,"38km NW of Korla, China"
2013-08-28T12:50:13.860Z,37.4411,144.4954,10.11,4.6,mb,84,135,4.68,0.58,us,usb000jckk,2013-08-28T13:24:49.246Z,"Off the east coast of Honshu, Japan"
2013-08-28T12:47:42.000Z,19.3673,-155.027,5.5,2.2,Ml,,183.6,0.05389892,0.27,hv,hv60550416,2013-08-28T12:53:23.315Z,"15km SW of Leilani Estates, Hawaii"
2013-08-28T12:44:51.000Z,59.8835,-152.2919,30.9,1.2,Ml,,,,0.12,ak,ak10791481,2013-08-28T12:48:47.840Z,"28km WNW of Anchor Point, Alaska"
